antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
powdered sugar,baking soda,0.0254,0.06305,0.00455,0.17913385826771655,2.841139702897963,0.0029485300000000004,1.1414163069544363,0.6649174753012225
baking soda,raisins,0.06305,0.02635,0.00725,0.11498810467882635,4.3638749403729165,0.005588632500000001,1.1001547043010753,0.8227182475788096
raisins,baking soda,0.02635,0.06305,0.00725,0.27514231499051234,4.3638749403729165,0.005588632500000001,1.292598560209424,0.791707350761532
salt,baking soda,0.3884,0.06305,0.0481,0.12384140061791965,1.9641776465966638,0.023611379999999998,1.0693840141052011,0.8026178565746912
baking soda,salt,0.06305,0.3884,0.0481,0.7628865979381444,1.964177646596664,0.023611379999999998,2.5793565217391308,0.523913849278063
shortening,baking soda,0.02085,0.06305,0.0089,0.42685851318944845,6.770158813472617,0.0075854075,1.6347621338912133,0.8704416866956952
baking soda,shortening,0.06305,0.02085,0.0089,0.14115781126090404,6.770158813472616,0.0075854075,1.1400813942751615,0.909646168448786
sour cream,baking soda,0.0559,0.06305,0.00455,0.08139534883720931,1.2909650886155324,0.0010255050000000008,1.0199708860759493,0.23873076399291857
baking soda,sour cream,0.06305,0.0559,0.00455,0.07216494845360825,1.2909650886155324,0.0010255050000000008,1.01753,0.24055255273570036
sugar,baking soda,0.24285,0.06305,0.0391,0.1610047354333951,2.553604051283031,0.0237883075,1.1167524294478528,0.8035351135880564
baking soda,sugar,0.06305,0.24285,0.0391,0.6201427438540842,2.553604051283031,0.0237883075,1.9932487473903973,0.6493373299036201
vanilla,baking soda,0.0736,0.06305,0.02205,0.29959239130434784,4.751663621004724,0.01740952,1.3377210475266732,0.8522748189661588
baking soda,vanilla,0.06305,0.0736,0.02205,0.3497224425059477,4.751663621004724,0.01740952,1.4246224390243905,0.8426782563533268
baking soda,vanilla extract,0.06305,0.0356,0.0092,0.14591593973037273,4.098762351976762,0.00695542,1.129162859795729,0.8068988879272943
vanilla extract,baking soda,0.0356,0.06305,0.0092,0.25842696629213485,4.098762351976762,0.00695542,1.2634628787878786,0.7839318882657386
walnuts,baking soda,0.03135,0.06305,0.009,0.2870813397129186,4.553232985137488,0.0070233825,1.3142453020134226,0.8056324093669884
baking soda,walnuts,0.06305,0.03135,0.009,0.14274385408406026,4.553232985137488,0.0070233825,1.1299423219241442,0.832889517405767
baking soda,water,0.06305,0.18135,0.0093,0.14750198255352895,0.8133552939262693,-0.002134117500000001,0.960295488372093,-0.19673360910474322
water,baking soda,0.18135,0.06305,0.0093,0.05128205128205127,0.8133552939262693,-0.002134117500000001,0.9875959459459459,-0.21893858079904605
baking soda,white sugar,0.06305,0.01715,0.00465,0.07375099127676447,4.300349345583935,0.0035686924999999998,1.0611077482876712,0.8191053446695897
white sugar,baking soda,0.01715,0.06305,0.00465,0.27113702623906705,4.300349345583935,0.0035686924999999998,1.2854954,0.7808523708482191
sugar,bananas,0.24285,0.01175,0.0051,0.021000617665225447,1.787286609806421,0.0022465125,1.0094490536277603,0.5817772529337959
bananas,sugar,0.01175,0.24285,0.0051,0.4340425531914894,1.787286609806421,0.0022465125,1.3378214285714285,0.44572997425633554
basil,garlic,0.01375,0.1378,0.00565,0.4109090909090909,2.9819237366407174,0.0037552499999999995,1.463611111111111,0.6739123119889633
garlic,basil,0.1378,0.01375,0.00565,0.04100145137880987,2.9819237366407174,0.0037552499999999995,1.028416572077185,0.7708722079553642
basil,onion,0.01375,0.1885,0.00575,0.41818181818181815,2.218471183988425,0.003158125,1.394765625,0.5568964567146085
onion,basil,0.1885,0.01375,0.00575,0.03050397877984085,2.2184711839884255,0.003158125,1.017281121751026,0.6768196308500093
basil,oregano,0.01375,0.02515,0.00565,0.4109090909090909,16.3383336345563,0.0053041875,1.6548379629629628,0.951882634005182
oregano,basil,0.02515,0.01375,0.00565,0.22465208747514911,16.3383336345563,0.0053041875,1.2720096153846152,0.9630140511746531
salt,basil,0.3884,0.01375,0.0055,0.014160659114315138,1.0298661174047372,0.00015949999999999905,1.0004165578480022,0.04741661216481333
basil,salt,0.01375,0.3884,0.0055,0.39999999999999997,1.0298661174047372,0.00015949999999999905,1.019333333333333,0.029404309252217826
celery,bay leaf,0.05515,0.01665,0.00485,0.08794197642792385,5.281800386061493,0.0039317525,1.0781660536779325,0.8579886950909679
bay leaf,celery,0.01665,0.05515,0.00485,0.2912912912912913,5.281800386061492,0.0039317525,1.3331993644067797,0.8243968257046841
bay leaf,garlic,0.01665,0.1378,0.00655,0.39339339339339335,2.854814175568892,0.00425563,1.4213495049504947,0.6607154154846127
garlic,bay leaf,0.1378,0.01665,0.00655,0.04753265602322206,2.8548141755688925,0.00425563,1.0324238476190477,0.753554284176286
onion,bay leaf,0.1885,0.01665,0.00805,0.042705570291777184,2.564899116623254,0.004911474999999999,1.0272179274037128,0.7518436451169714
bay leaf,onion,0.01665,0.1885,0.00805,0.4834834834834834,2.564899116623254,0.004911474999999999,1.5711017441860462,0.620451637781484
salt,bay leaf,0.3884,0.01665,0.00875,0.02252832131822863,1.3530523314251428,0.0022831399999999995,1.0060138021862242,0.4266355227506306
bay leaf,salt,0.01665,0.3884,0.00875,0.5255255255255256,1.353052331425143,0.0022831399999999995,1.2890050632911392,0.26534833550036674
bay leaf,water,0.01665,0.18135,0.00655,0.39339339339339335,2.1692494810774376,0.0035305224999999997,1.3495566831683166,0.5481375590606499
water,bay leaf,0.18135,0.01665,0.00655,0.036118003859939345,2.169249481077438,0.0035305224999999997,1.020197497139588,0.6584145467565993
salt,bay leaves,0.3884,0.01105,0.0063,0.016220391349124612,1.4679087193777929,0.002008179999999999,1.005255639884847,0.5211882442098268
bay leaves,salt,0.01105,0.3884,0.0063,0.5701357466063348,1.4679087193777929,0.002008179999999999,1.422774736842105,0.32232037024999244
beef,salt,0.00875,0.3884,0.00515,0.5885714285714285,1.5153744298955418,0.0017514999999999996,1.4865277777777774,0.3430992054261192
salt,beef,0.3884,0.00875,0.00515,0.013259526261585993,1.5153744298955418,0.0017514999999999996,1.004570123939987,0.5560776445039907
onion,bell pepper,0.1885,0.0076,0.0049,0.0259946949602122,3.4203546000279212,0.0034674,1.0188856209150328,0.8720057339016937
bell pepper,onion,0.0076,0.1885,0.0049,0.6447368421052632,3.4203546000279212,0.0034674,2.284222222222222,0.7130518470991782
butter,black pepper,0.26755,0.05545,0.01105,0.041300691459540274,0.7448276187473449,-0.0037856474999999994,0.9852411403508772,-0.3186781202806244
black pepper,butter,0.05545,0.26755,0.01105,0.19927862939585214,0.7448276187473449,-0.0037856474999999994,0.9147376689189191,-0.2661651875405375
